StudentId,Name,Group,Lesson,Code,Value
Experimental::Student 16,Student 16,Experimental,Lesson 1,SC,1
Experimental::Student 16,Student 16,Experimental,Lesson 1,ATT,1
Experimental::Student 17,Student 17,Experimental,Lesson 1,EC,1
Experimental::Student 17,Student 17,Experimental,Lesson 1,MCO,1
Experimental::Student 18,Student 18,Experimental,Lesson 1,EC,1
Experimental::Student 18,Student 18,Experimental,Lesson 1,ICT,1
Experimental::Student 19,Student 19,Experimental,Lesson 1,MCO,1
Experimental::Student 20,Student 20,Experimental,Lesson 1,MCO,1
Experimental::Student 20,Student 20,Experimental,Lesson 1,SC,1
Experimental::Student 20,Student 20,Experimental,Lesson 1,ATT,1
Experimental::Student 21,Student 21,Experimental,Lesson 1,MCO,1
Experimental::Student 22,Student 22,Experimental,Lesson 1,EC,1
Experimental::Student 22,Student 22,Experimental,Lesson 1,NI,1
Experimental::Student 23,Student 23,Experimental,Lesson 1,MCO,1
Experimental::Student 23,Student 23,Experimental,Lesson 1,ATT,1
Experimental::Student 24,Student 24,Experimental,Lesson 1,EC,1
Experimental::Student 25,Student 25,Experimental,Lesson 1,ICT,1
Experimental::Student 25,Student 25,Experimental,Lesson 1,MCO,1
Experimental::Student 25,Student 25,Experimental,Lesson 1,SC,1
Experimental::Student 26,Student 26,Experimental,Lesson 1,EC,1
Experimental::Student 26,Student 26,Experimental,Lesson 1,SC,1
Experimental::Student 26,Student 26,Experimental,Lesson 1,ATT,1
Experimental::Student 27,Student 27,Experimental,Lesson 1,MCO,1
Experimental::Student 27,Student 27,Experimental,Lesson 1,ATT,1
Experimental::Student 28,Student 28,Experimental,Lesson 1,ICT,1
Experimental::Student 28,Student 28,Experimental,Lesson 1,MCO,1
Experimental::Student 28,Student 28,Experimental,Lesson 1,SC,1
Experimental::Student 29,Student 29,Experimental,Lesson 1,EC,1
Experimental::Student 30,Student 30,Experimental,Lesson 1,EC,1
Experimental::Student 30,Student 30,Experimental,Lesson 1,ATT,1
Experimental::Student 31,Student 31,Experimental,Lesson 1,ICT,1
Experimental::Student 31,Student 31,Experimental,Lesson 1,MCO,1
Experimental::Student 32,Student 32,Experimental,Lesson 1,EC,1
Experimental::Student 32,Student 32,Experimental,Lesson 1,SC,1
Experimental::Student 34,Student 34,Experimental,Lesson 1,EC,1
Experimental::Student 34,Student 34,Experimental,Lesson 1,SC,1
Experimental::Student 35,Student 35,Experimental,Lesson 1,EC,1
Experimental::Student 35,Student 35,Experimental,Lesson 1,ATT,1
Experimental::Student 36,Student 36,Experimental,Lesson 1,EC,1
Experimental::Student 36,Student 36,Experimental,Lesson 1,ICT,1
Experimental::Student 37,Student 37,Experimental,Lesson 1,ATT,1
Experimental::Student 38,Student 38,Experimental,Lesson 1,ATT,1
Experimental::Student 39,Student 39,Experimental,Lesson 1,EC,1
Experimental::Student 39,Student 39,Experimental,Lesson 1,SR,1
Experimental::Student 39,Student 39,Experimental,Lesson 1,SC,1
Experimental::Student 39,Student 39,Experimental,Lesson 1,ATT,1
Experimental::Student 40,Student 40,Experimental,Lesson 1,SC,1
Experimental::Student 40,Student 40,Experimental,Lesson 1,ATT,1
Experimental::Student 41,Student 41,Experimental,Lesson 1,EC,1
Experimental::Student 41,Student 41,Experimental,Lesson 1,ICT,1
Experimental::Student 42,Student 42,Experimental,Lesson 1,SC,1
Experimental::Student 42,Student 42,Experimental,Lesson 1,ATT,1
Experimental::Student 43,Student 43,Experimental,Lesson 1,EC,1
Experimental::Student 44,Student 44,Experimental,Lesson 1,SC,1
Experimental::Student 44,Student 44,Experimental,Lesson 1,ATT,1
Experimental::Student 45,Student 45,Experimental,Lesson 1,ICT,1
Experimental::Student 45,Student 45,Experimental,Lesson 1,MCO,1
Experimental::Student 1,Student 1,Experimental,Lesson 2,EC,1
Experimental::Student 1,Student 1,Experimental,Lesson 2,ATT,1
Experimental::Student 2,Student 2,Experimental,Lesson 2,EC,1
Experimental::Student 2,Student 2,Experimental,Lesson 2,ICT,1
Experimental::Student 2,Student 2,Experimental,Lesson 2,MCO,1
Experimental::Student 3,Student 3,Experimental,Lesson 2,ICT,1
Experimental::Student 3,Student 3,Experimental,Lesson 2,ATT,1
Experimental::Student 4,Student 4,Experimental,Lesson 2,EC,1
Experimental::Student 4,Student 4,Experimental,Lesson 2,MCO,1
Experimental::Student 4,Student 4,Experimental,Lesson 2,SC,1
Experimental::Student 5,Student 5,Experimental,Lesson 2,EC,1
Experimental::Student 5,Student 5,Experimental,Lesson 2,MCO,1
Experimental::Student 5,Student 5,Experimental,Lesson 2,SC,1
Experimental::Student 5,Student 5,Experimental,Lesson 2,ATT,1
Experimental::Student 6,Student 6,Experimental,Lesson 2,EC,1
Experimental::Student 7,Student 7,Experimental,Lesson 2,EC,1
Experimental::Student 7,Student 7,Experimental,Lesson 2,ICT,1
Experimental::Student 7,Student 7,Experimental,Lesson 2,SC,1
Experimental::Student 8,Student 8,Experimental,Lesson 2,EC,1
Experimental::Student 9,Student 9,Experimental,Lesson 2,ICT,1
Experimental::Student 9,Student 9,Experimental,Lesson 2,MCO,1
Experimental::Student 9,Student 9,Experimental,Lesson 2,ATT,1
Experimental::Student 10,Student 10,Experimental,Lesson 2,EC,1
Experimental::Student 10,Student 10,Experimental,Lesson 2,MCO,1
Experimental::Student 10,Student 10,Experimental,Lesson 2,ATT,1
Experimental::Student 11,Student 11,Experimental,Lesson 2,EC,1
Experimental::Student 11,Student 11,Experimental,Lesson 2,SC,1
Experimental::Student 12,Student 12,Experimental,Lesson 2,ICT,1
Experimental::Student 12,Student 12,Experimental,Lesson 2,SC,1
Experimental::Student 13,Student 13,Experimental,Lesson 2,SR,1
Experimental::Student 13,Student 13,Experimental,Lesson 2,ATT,1
Experimental::Student 14,Student 14,Experimental,Lesson 2,EC,1
Experimental::Student 14,Student 14,Experimental,Lesson 2,ICT,1
Experimental::Student 14,Student 14,Experimental,Lesson 2,MCO,1
Experimental::Student 15,Student 15,Experimental,Lesson 2,EC,1
Experimental::Student 15,Student 15,Experimental,Lesson 2,ICT,1
Experimental::Student 15,Student 15,Experimental,Lesson 2,MCO,1
Experimental::Student 15,Student 15,Experimental,Lesson 2,NI,1
Experimental::Student 15,Student 15,Experimental,Lesson 2,SC,1
Experimental::Student 19,Student 19,Experimental,Lesson 2,EC,1
Experimental::Student 19,Student 19,Experimental,Lesson 2,MCO,1
Experimental::Student 19,Student 19,Experimental,Lesson 2,SR,1
Experimental::Student 20,Student 20,Experimental,Lesson 2,ICT,1
Experimental::Student 21,Student 21,Experimental,Lesson 2,EC,1
Experimental::Student 22,Student 22,Experimental,Lesson 2,ATT,1
Experimental::Student 23,Student 23,Experimental,Lesson 2,MCO,1
Experimental::Student 23,Student 23,Experimental,Lesson 2,SC,1
Experimental::Student 23,Student 23,Experimental,Lesson 2,ATT,1
Experimental::Student 24,Student 24,Experimental,Lesson 2,EC,1
Experimental::Student 24,Student 24,Experimental,Lesson 2,NI,1
Experimental::Student 25,Student 25,Experimental,Lesson 2,EC,1
Experimental::Student 25,Student 25,Experimental,Lesson 2,ICT,1
Experimental::Student 25,Student 25,Experimental,Lesson 2,MCO,1
Experimental::Student 26,Student 26,Experimental,Lesson 2,EC,1
Experimental::Student 26,Student 26,Experimental,Lesson 2,ICT,1
Experimental::Student 26,Student 26,Experimental,Lesson 2,MCO,1
Experimental::Student 27,Student 27,Experimental,Lesson 2,NI,1
Experimental::Student 27,Student 27,Experimental,Lesson 2,SR,1
Experimental::Student 27,Student 27,Experimental,Lesson 2,ATT,1
Experimental::Student 28,Student 28,Experimental,Lesson 2,EC,1
Experimental::Student 28,Student 28,Experimental,Lesson 2,ICT,1
Experimental::Student 29,Student 29,Experimental,Lesson 2,ICT,1
Experimental::Student 29,Student 29,Experimental,Lesson 2,MCO,1
Experimental::Student 29,Student 29,Experimental,Lesson 2,SR,1
Experimental::Student 29,Student 29,Experimental,Lesson 2,ATT,1
Experimental::Student 30,Student 30,Experimental,Lesson 2,EC,1
Experimental::Student 30,Student 30,Experimental,Lesson 2,ICT,1
Experimental::Student 30,Student 30,Experimental,Lesson 2,MCO,1
Experimental::Student 30,Student 30,Experimental,Lesson 2,ATT,1
Experimental::Student 31,Student 31,Experimental,Lesson 2,EC,1
Experimental::Student 31,Student 31,Experimental,Lesson 2,SC,1
Experimental::Student 31,Student 31,Experimental,Lesson 2,ATT,1
Experimental::Student 32,Student 32,Experimental,Lesson 2,ICT,1
Experimental::Student 32,Student 32,Experimental,Lesson 2,MCO,1
Experimental::Student 32,Student 32,Experimental,Lesson 2,SR,1
Experimental::Student 32,Student 32,Experimental,Lesson 2,ATT,1
Experimental::Student 33,Student 33,Experimental,Lesson 2,EC,1
Experimental::Student 33,Student 33,Experimental,Lesson 2,ICT,1
Experimental::Student 33,Student 33,Experimental,Lesson 2,SR,1
Experimental::Student 33,Student 33,Experimental,Lesson 2,SC,1
Experimental::Student 33,Student 33,Experimental,Lesson 2,ATT,1
Experimental::Student 34,Student 34,Experimental,Lesson 2,EC,1
Experimental::Student 34,Student 34,Experimental,Lesson 2,ICT,1
Experimental::Student 34,Student 34,Experimental,Lesson 2,ATT,1
Experimental::Student 35,Student 35,Experimental,Lesson 2,EC,1
Experimental::Student 35,Student 35,Experimental,Lesson 2,ICT,1
Experimental::Student 35,Student 35,Experimental,Lesson 2,MCO,1
Experimental::Student 35,Student 35,Experimental,Lesson 2,SC,1
Experimental::Student 36,Student 36,Experimental,Lesson 2,ICT,1
Experimental::Student 36,Student 36,Experimental,Lesson 2,MCO,1
Experimental::Student 37,Student 37,Experimental,Lesson 2,EC,1
Experimental::Student 37,Student 37,Experimental,Lesson 2,SR,1
Experimental::Student 38,Student 38,Experimental,Lesson 2,EC,1
Experimental::Student 38,Student 38,Experimental,Lesson 2,ICT,1
Experimental::Student 39,Student 39,Experimental,Lesson 2,ATT,1
Experimental::Student 40,Student 40,Experimental,Lesson 2,EC,1
Experimental::Student 40,Student 40,Experimental,Lesson 2,MCO,1
Experimental::Student 40,Student 40,Experimental,Lesson 2,NI,1
Experimental::Student 40,Student 40,Experimental,Lesson 2,ATT,1
Experimental::Student 41,Student 41,Experimental,Lesson 2,MCO,1
Experimental::Student 42,Student 42,Experimental,Lesson 2,ICT,1
Experimental::Student 42,Student 42,Experimental,Lesson 2,SR,1
Experimental::Student 43,Student 43,Experimental,Lesson 2,EC,1
Experimental::Student 43,Student 43,Experimental,Lesson 2,ICT,1
Experimental::Student 43,Student 43,Experimental,Lesson 2,MCO,1
Experimental::Student 43,Student 43,Experimental,Lesson 2,ATT,1
Experimental::Student 44,Student 44,Experimental,Lesson 2,EC,1
Experimental::Student 44,Student 44,Experimental,Lesson 2,MCO,1
Experimental::Student 45,Student 45,Experimental,Lesson 2,SR,1
Experimental::Student 45,Student 45,Experimental,Lesson 2,ATT,1
Control::Student 2,Student 2,Control,Lesson 1,MCO,1
Control::Student 2,Student 2,Control,Lesson 1,SC,1
Control::Student 2,Student 2,Control,Lesson 1,ATT,1
Control::Student 3,Student 3,Control,Lesson 1,EC,1
Control::Student 3,Student 3,Control,Lesson 1,SR,1
Control::Student 3,Student 3,Control,Lesson 1,ATT,1
Control::Student 4,Student 4,Control,Lesson 1,EC,1
Control::Student 4,Student 4,Control,Lesson 1,MCO,1
Control::Student 4,Student 4,Control,Lesson 1,SC,1
Control::Student 5,Student 5,Control,Lesson 1,EC,1
Control::Student 5,Student 5,Control,Lesson 1,MCO,1
Control::Student 5,Student 5,Control,Lesson 1,ATT,1
Control::Student 6,Student 6,Control,Lesson 1,SC,1
Control::Student 6,Student 6,Control,Lesson 1,ATT,1
Control::Student 7,Student 7,Control,Lesson 1,MCO,1
Control::Student 7,Student 7,Control,Lesson 1,SC,1
Control::Student 7,Student 7,Control,Lesson 1,ATT,1
Control::Student 8,Student 8,Control,Lesson 1,EC,1
Control::Student 8,Student 8,Control,Lesson 1,MCO,1
Control::Student 9,Student 9,Control,Lesson 1,ICT,1
Control::Student 9,Student 9,Control,Lesson 1,MCO,1
Control::Student 10,Student 10,Control,Lesson 1,EC,1
Control::Student 10,Student 10,Control,Lesson 1,SR,1
Control::Student 10,Student 10,Control,Lesson 1,SC,1
Control::Student 10,Student 10,Control,Lesson 1,ATT,1
Control::Student 11,Student 11,Control,Lesson 1,ATT,1
Control::Student 12,Student 12,Control,Lesson 1,EC,1
Control::Student 13,Student 13,Control,Lesson 1,EC,1
Control::Student 13,Student 13,Control,Lesson 1,MCO,1
Control::Student 13,Student 13,Control,Lesson 1,SC,1
Control::Student 13,Student 13,Control,Lesson 1,ATT,1
Control::Student 14,Student 14,Control,Lesson 1,EC,1
Control::Student 14,Student 14,Control,Lesson 1,MCO,1
Control::Student 14,Student 14,Control,Lesson 1,SC,1
Control::Student 15,Student 15,Control,Lesson 1,MCO,1
Control::Student 15,Student 15,Control,Lesson 1,SC,1
Control::Student 16,Student 16,Control,Lesson 1,MCO,1
Control::Student 18,Student 18,Control,Lesson 1,ATT,1
Control::Student 19,Student 19,Control,Lesson 1,ICT,1
Control::Student 19,Student 19,Control,Lesson 1,MCO,1
Control::Student 20,Student 20,Control,Lesson 1,EC,1
Control::Student 20,Student 20,Control,Lesson 1,MCO,1
Control::Student 20,Student 20,Control,Lesson 1,SR,1
Control::Student 20,Student 20,Control,Lesson 1,ATT,1
Control::Student 21,Student 21,Control,Lesson 1,MCO,1
Control::Student 21,Student 21,Control,Lesson 1,ATT,1
Control::Student 22,Student 22,Control,Lesson 1,EC,1
Control::Student 22,Student 22,Control,Lesson 1,SC,1
Control::Student 23,Student 23,Control,Lesson 1,EC,1
Control::Student 23,Student 23,Control,Lesson 1,SR,1
Control::Student 23,Student 23,Control,Lesson 1,ATT,1
Control::Student 24,Student 24,Control,Lesson 1,EC,1
Control::Student 24,Student 24,Control,Lesson 1,SR,1
Control::Student 24,Student 24,Control,Lesson 1,ATT,1
Control::Student 25,Student 25,Control,Lesson 1,MCO,1
Control::Student 25,Student 25,Control,Lesson 1,SC,1
Control::Student 25,Student 25,Control,Lesson 1,ATT,1
Control::Student 26,Student 26,Control,Lesson 1,EC,1
Control::Student 26,Student 26,Control,Lesson 1,ATT,1
Control::Student 27,Student 27,Control,Lesson 1,SC,1
Control::Student 27,Student 27,Control,Lesson 1,ATT,1
Control::Student 28,Student 28,Control,Lesson 1,SC,1
Control::Student 28,Student 28,Control,Lesson 1,ATT,1
Control::Student 29,Student 29,Control,Lesson 1,EC,1
Control::Student 29,Student 29,Control,Lesson 1,MCO,1
Control::Student 29,Student 29,Control,Lesson 1,SC,1
Control::Student 30,Student 30,Control,Lesson 1,EC,1
Control::Student 30,Student 30,Control,Lesson 1,ICT,1
Control::Student 30,Student 30,Control,Lesson 1,ATT,1
Control::Student 31,Student 31,Control,Lesson 1,EC,1
Control::Student 31,Student 31,Control,Lesson 1,SC,1
Control::Student 31,Student 31,Control,Lesson 1,ATT,1
Control::Student 32,Student 32,Control,Lesson 1,EC,1
Control::Student 32,Student 32,Control,Lesson 1,MCO,1
Control::Student 33,Student 33,Control,Lesson 1,EC,1
Control::Student 33,Student 33,Control,Lesson 1,SR,1
Control::Student 34,Student 34,Control,Lesson 1,EC,1
Control::Student 34,Student 34,Control,Lesson 1,ICT,1
Control::Student 35,Student 35,Control,Lesson 1,ICT,1
Control::Student 36,Student 36,Control,Lesson 1,EC,1
Control::Student 36,Student 36,Control,Lesson 1,MCO,1
Control::Student 36,Student 36,Control,Lesson 1,SC,1
Control::Student 36,Student 36,Control,Lesson 1,ATT,1
Control::Student 37,Student 37,Control,Lesson 1,EC,1
Control::Student 38,Student 38,Control,Lesson 1,ICT,1
Control::Student 38,Student 38,Control,Lesson 1,MCO,1
Control::Student 38,Student 38,Control,Lesson 1,SR,1
Control::Student 38,Student 38,Control,Lesson 1,ATT,1
Control::Student 39,Student 39,Control,Lesson 1,EC,1
Control::Student 39,Student 39,Control,Lesson 1,ATT,1
Control::Student 40,Student 40,Control,Lesson 1,ATT,1
Control::Student 41,Student 41,Control,Lesson 1,MCO,1
Control::Student 41,Student 41,Control,Lesson 1,ATT,1
Control::Student 42,Student 42,Control,Lesson 1,EC,1
Control::Student 42,Student 42,Control,Lesson 1,NI,1
Control::Student 1,Student 1,Control,Lesson 2,EC,1
Control::Student 1,Student 1,Control,Lesson 2,ATT,1
Control::Student 2,Student 2,Control,Lesson 2,EC,1
Control::Student 2,Student 2,Control,Lesson 2,ICT,1
Control::Student 2,Student 2,Control,Lesson 2,MCO,1
Control::Student 2,Student 2,Control,Lesson 2,SC,1
Control::Student 3,Student 3,Control,Lesson 2,EC,1
Control::Student 3,Student 3,Control,Lesson 2,SR,1
Control::Student 3,Student 3,Control,Lesson 2,SC,1
Control::Student 4,Student 4,Control,Lesson 2,EC,1
Control::Student 4,Student 4,Control,Lesson 2,NI,1
Control::Student 4,Student 4,Control,Lesson 2,ATT,1
Control::Student 5,Student 5,Control,Lesson 2,EC,1
Control::Student 5,Student 5,Control,Lesson 2,ICT,1
Control::Student 5,Student 5,Control,Lesson 2,NI,1
Control::Student 5,Student 5,Control,Lesson 2,ATT,1
Control::Student 6,Student 6,Control,Lesson 2,EC,1
Control::Student 6,Student 6,Control,Lesson 2,NI,1
Control::Student 7,Student 7,Control,Lesson 2,ICT,1
Control::Student 7,Student 7,Control,Lesson 2,MCO,1
Control::Student 7,Student 7,Control,Lesson 2,SC,1
Control::Student 7,Student 7,Control,Lesson 2,ATT,1
Control::Student 8,Student 8,Control,Lesson 2,MCO,1
Control::Student 8,Student 8,Control,Lesson 2,NI,1
Control::Student 9,Student 9,Control,Lesson 2,EC,1
Control::Student 9,Student 9,Control,Lesson 2,MCO,1
Control::Student 9,Student 9,Control,Lesson 2,ATT,1
Control::Student 10,Student 10,Control,Lesson 2,EC,1
Control::Student 10,Student 10,Control,Lesson 2,ICT,1
Control::Student 10,Student 10,Control,Lesson 2,NI,1
Control::Student 10,Student 10,Control,Lesson 2,ATT,1
Control::Student 11,Student 11,Control,Lesson 2,EC,1
Control::Student 11,Student 11,Control,Lesson 2,NI,1
Control::Student 12,Student 12,Control,Lesson 2,SR,1
Control::Student 13,Student 13,Control,Lesson 2,EC,1
Control::Student 13,Student 13,Control,Lesson 2,MCO,1
Control::Student 13,Student 13,Control,Lesson 2,NI,1
Control::Student 13,Student 13,Control,Lesson 2,SR,1
Control::Student 13,Student 13,Control,Lesson 2,SC,1
Control::Student 14,Student 14,Control,Lesson 2,SR,1
Control::Student 15,Student 15,Control,Lesson 2,MCO,1
Control::Student 15,Student 15,Control,Lesson 2,NI,1
Control::Student 18,Student 18,Control,Lesson 2,EC,1
Control::Student 18,Student 18,Control,Lesson 2,MCO,1
Control::Student 19,Student 19,Control,Lesson 2,EC,1
Control::Student 19,Student 19,Control,Lesson 2,ICT,1
Control::Student 19,Student 19,Control,Lesson 2,SC,1
Control::Student 20,Student 20,Control,Lesson 2,ICT,1
Control::Student 20,Student 20,Control,Lesson 2,MCO,1
Control::Student 20,Student 20,Control,Lesson 2,ATT,1
Control::Student 21,Student 21,Control,Lesson 2,ICT,1
Control::Student 21,Student 21,Control,Lesson 2,MCO,1
Control::Student 21,Student 21,Control,Lesson 2,ATT,1
Control::Student 22,Student 22,Control,Lesson 2,ICT,1
Control::Student 24,Student 24,Control,Lesson 2,EC,1
Control::Student 24,Student 24,Control,Lesson 2,ICT,1
Control::Student 24,Student 24,Control,Lesson 2,MCO,1
Control::Student 25,Student 25,Control,Lesson 2,ICT,1
Control::Student 25,Student 25,Control,Lesson 2,NI,1
Control::Student 26,Student 26,Control,Lesson 2,EC,1
Control::Student 26,Student 26,Control,Lesson 2,ICT,1
Control::Student 26,Student 26,Control,Lesson 2,ATT,1
Control::Student 29,Student 29,Control,Lesson 2,SC,1
Control::Student 29,Student 29,Control,Lesson 2,ATT,1
Control::Student 30,Student 30,Control,Lesson 2,NI,1
Control::Student 30,Student 30,Control,Lesson 2,SC,1
Control::Student 31,Student 31,Control,Lesson 2,EC,1
Control::Student 31,Student 31,Control,Lesson 2,ICT,1
Control::Student 31,Student 31,Control,Lesson 2,NI,1
Control::Student 31,Student 31,Control,Lesson 2,SC,1
Control::Student 31,Student 31,Control,Lesson 2,ATT,1
Control::Student 32,Student 32,Control,Lesson 2,MCO,1
Control::Student 32,Student 32,Control,Lesson 2,ATT,1
Control::Student 33,Student 33,Control,Lesson 2,MCO,1
Control::Student 33,Student 33,Control,Lesson 2,SC,1
Control::Student 33,Student 33,Control,Lesson 2,ATT,1
Control::Student 34,Student 34,Control,Lesson 2,EC,1
Control::Student 34,Student 34,Control,Lesson 2,ICT,1
Control::Student 36,Student 36,Control,Lesson 2,ICT,1
Control::Student 36,Student 36,Control,Lesson 2,MCO,1
Control::Student 36,Student 36,Control,Lesson 2,SC,1
Control::Student 37,Student 37,Control,Lesson 2,EC,1
Control::Student 37,Student 37,Control,Lesson 2,MCO,1
Control::Student 37,Student 37,Control,Lesson 2,ATT,1
Control::Student 38,Student 38,Control,Lesson 2,EC,1
Control::Student 38,Student 38,Control,Lesson 2,ICT,1
Control::Student 38,Student 38,Control,Lesson 2,SC,1
Control::Student 39,Student 39,Control,Lesson 2,EC,1
Control::Student 39,Student 39,Control,Lesson 2,ICT,1
Control::Student 39,Student 39,Control,Lesson 2,SC,1
Control::Student 40,Student 40,Control,Lesson 2,EC,1
Control::Student 40,Student 40,Control,Lesson 2,SC,1
Control::Student 40,Student 40,Control,Lesson 2,ATT,1
Control::Student 41,Student 41,Control,Lesson 2,MCO,1
Control::Student 41,Student 41,Control,Lesson 2,ATT,1
Control::Student 42,Student 42,Control,Lesson 2,ATT,1
